"species","Longitude","Latitude","gbifID"
"Osmunda regalis",1.72108,48.71232,4051434318
"Osmunda regalis",4.56955,49.91393,4051474909
"Osmunda regalis",-0.80264,46.54127,4051475224
"Osmunda regalis",8.00943,49.01296,4051485148
"Osmunda regalis",4.94045,48.76471,4051496420
"Osmunda regalis",4.84968,49.94656,4051496981
"Osmunda regalis",4.791,49.93886,4051497096
"Osmunda regalis",1.70467,48.71631,4051507204
"Osmunda regalis",4.56919,49.91483,4051516825
"Osmunda regalis",4.79352,49.9385,4050981803
"Osmunda regalis",4.79164,49.93896,4051546054
"Osmunda regalis",-1.00822,45.03443,4051578092
"Osmunda regalis",7.96201,49.01855,4051054337
"Osmunda regalis",1.72549,48.73329,4051064471
"Osmunda regalis",4.56924,49.91473,4051625784
"Osmunda regalis",7.12163,48.44573,4051128041
"Osmunda regalis",7.86113,48.82123,4051057754
"Osmunda regalis",9.30438,41.76612,4051165984
"Osmunda regalis",7.08556,48.57067,4051066421
"Osmunda regalis",7.12082,48.44633,4051087067
"Osmunda regalis",4.56958,49.91488,4051098615
"Osmunda regalis",2.20718,44.7041,4051110292
"Osmunda regalis",2.16405,47.43561,4051119789
"Osmunda regalis",7.12186,48.44571,4051141030
"Osmunda regalis",6.98984,48.44533,4051141297
"Osmunda regalis",-3.72284,48.42513,4051301327
"Osmunda regalis",7.12168,48.44729,4051201675
"Osmunda regalis",0.36209,47.20813,4051322022
"Osmunda regalis",6.88588,43.47728,4051332362
"Osmunda regalis",4.84701,49.94724,4051229571
"Osmunda regalis",2.26061,44.68564,4051353484
"Osmunda regalis",2.59775,48.39785,4051916460
"Osmunda regalis",7.38554,48.82954,4051933896
"Osmunda regalis",9.13306,41.56687,4051354757
"Osmunda regalis",1.48157,42.98062,4051354763
"Osmunda regalis",0.64111,48.61671,4051799154
"Osmunda regalis",2.3237,44.68603,4051368692
"Osmunda regalis",2.8383,43.48802,4051380335
"Osmunda regalis",7.24873,48.57621,4051817087
"Osmunda regalis",1.71818,48.73886,4051400821
"Osmunda regalis",-1.29943,44.19078,4051855849
"Osmunda regalis",6.62594,47.74469,4051467085
"Osmunda regalis",4.56944,49.91492,4051497571
"Osmunda regalis",4.56902,49.91452,4051507449
"Osmunda regalis",2.5742,48.37517,4051922633
"Osmunda regalis",-0.46233,48.59164,4051931034
"Osmunda regalis",2.51204,47.83029,4051938811
"Osmunda regalis",9.1128,42.30594,4051565057
"Osmunda regalis",1.70158,48.74334,4051574953
"Osmunda regalis",8.02345,48.86684,4051390174
"Osmunda regalis",2.22293,44.7266,4051584761
"Osmunda regalis",1.70468,48.7164,4051594557
"Osmunda regalis",4.56914,49.91541,4051426604
"Osmunda regalis",1.71839,48.73886,4051437491
"Osmunda regalis",2.49096,47.83692,4051438228
"Osmunda regalis",1.59835,45.51999,4051627108
"Osmunda regalis",4.79271,49.93876,4051637156
"Osmunda regalis",2.51187,47.8304,4051459267
"Osmunda regalis",6.95729,48.43144,4050694364
"Osmunda regalis",0.872556,52.517983,3787106743
"Osmunda regalis",1.468096,52.591956,3788187120
"Osmunda regalis",1.468096,52.591956,3787615280
"Osmunda regalis",1.482356,52.771418,3787680028
"Osmunda regalis",1.327543,52.685929,3787836135
"Osmunda regalis",1.475207,52.681688,3787908552
"Osmunda regalis",1.468096,52.591956,3787036990
"Osmunda regalis",1.468096,52.591956,3787442779
"Osmunda regalis",1.199579,52.959252,3787510331
"Osmunda regalis",4.80802,49.89933,4589368303
"Osmunda regalis",4.69208,49.93442,4589368322
"Osmunda regalis",1.71955,48.73933,4050965460
"Osmunda regalis",2.17567,45.0821,4051007229
"Osmunda regalis",5.78858,47.09996,4051052083
"Osmunda regalis",6.96616,48.42138,4051071144
"Osmunda regalis",0.98735,49.40431,4051112756
"Osmunda regalis",4.79263,49.93885,4051183867
"Osmunda regalis",4.84491,49.94572,4051204646
"Osmunda regalis",-2.17995,47.12192,4051245445
"Osmunda regalis",-1.24283,44.70215,4051296945
"Osmunda regalis",-0.69757,46.56867,4051307681
"Osmunda regalis",7.9582,48.85158,4051308069
"Osmunda regalis",-1.24297,44.70197,4050702236
"Osmunda regalis",2.97203,43.56065,4050721352
